,Entity,Label,Abstracts,ClCy-Trips-Raw,ClCy
0,http://yago-knowledge.org/resource/15th_Satellite_Awards,15th Satellite Awards,"The 15th Satellite Awards is an award ceremony honoring the year's outstanding performers, films, television shows, home videos and interactive media, presented by the International Press Academy at the Hyatt Regency Century Plaza in Century City, Los Angeles. The nominations were announced on December 1, 2010. The winners were announced on December 19, 2010.","[[is, an award ceremony]]","[['type', 'award_ceremony']]"
1,http://yago-knowledge.org/resource/25th_United_States_Congress,25th United States Congress,"The 25th United States Congress was a meeting of the legislative branch of the United States federal government, consisting of the United States Senate and the United States House of Representatives. It met in Washington, D.C. from March 4, 1837, to March 4, 1839, during the first two years of Martin Van Buren's presidency. The apportionment of seats in the House of Representatives was based on the Fifth Census of the United States in 1830. Both chambers had a Democratic majority.","[[was, a meeting], [met, to March 4, 1839,], [met, from March 4, 1837,], [met, in Washington, D.C.], [met, during the first two years of Martin Van Buren's presidency]]","[['not', 'meeting'], ['metTo', 'March'], ['metFrom', 'March'], ['metWashington', 'Washington'], ['metWashington', 'D.C.'], ['metOf', 'first_two_years'], ['consistedOf', ""Martin_Van_Buren's_presidency""]]"
2,http://yago-knowledge.org/resource/28th_United_States_Congress,28th United States Congress,"The 28th United States Congress was a meeting of the legislative branch of the United States federal government, consisting of the United States Senate and the United States House of Representatives. It met in Washington, D.C. from March 4, 1843, to March 4, 1845, during the third and fourth years of John Tyler's presidency. The apportionment of seats in this House of Representatives was based on the Sixth Census of the United States in 1840. The Senate had a Whig majority, and the House had a Democratic majority.","[[was, a meeting], [met, from March 4, 1843,], [met, during the third and fourth years of John Tyler's presidency], [met, in Washington, D.C.], [met, to March 4, 1845,]]","[['not', 'meeting'], ['metFrom', 'March'], ['metOf', 'third_and_fourth_years'], ['consistedOf', ""John_Tyler's_presidency""], ['metWashington', 'Washington'], ['metWashington', 'D.C.'], ['metTo', 'March']]"
3,http://yago-knowledge.org/resource/38th_Daytime_Emmy_Awards,38th Daytime Emmy Awards,"The 38th Annual Daytime Emmy Awards were held on Sunday, June 19, 2011, at the Las Vegas Hilton, and were televised on CBS. The Daytime Entertainment Creative Arts Emmy Awards were presented two days earlier on June 17 at the Westin Bonaventure Hotel. The televised ceremony was hosted by Wayne Brady. The Pre-Nominations were announced on February 25, and the final nominations were announced May 11, 2011. At the event, Pat Sajak and Alex Trebek both received a Lifetime Achievement Award.","[[were held, at the Las Vegas Hilton], [were held, on Sunday, June 19, 2011,]]","[['heldAt', 'Las_Vegas_Hilton'], ['heldSunday', 'June']]"
4,http://yago-knowledge.org/resource/55th_Golden_Globe_Awards,55th Golden Globe Awards,"The 55th Golden Globe Awards, honoring the best in film and television for 1997, were held on January 18, 1998. The nominations were announced on December 18, 1997.","[[honoring, the best]]",[]
5,http://yago-knowledge.org/resource/A.C._Cesena,A.C. Cesena,"A.C. Cesena, commonly referred to as Cesena (Italian pronunciation: [tʃeˈzɛːna]), was an Italian football club based in Cesena, Emilia-Romagna. The club spent most of its history in professional leagues such as Serie A and Serie B, but went bankrupt and folded in 2018. Another club from Cesena, A.S.D. Romagna Centro Cesena, claimed to be the bankrupted club's successor. In 2019 that club applied change its name to ""Cesena F.C."". The club was formed in 1940 and won its first promotion to Serie A in 1973. Since then, the club have been in Serie A for a total of 13 seasons, their best achievement coming in 1976 with a sixth-placed finish and a short run in the following season's UEFA Cup. The other four promotions to Serie A were achieved in 1981, 1987, 2010 (after two consecutive promotions — from the third league (Lega Pro) in 2009 and from Serie B in 2010, both won on the final day of the season) and 2014.","[[referred, to], [referred, commonly], [referred, as Cesena (Italian pronunciation]]","[['referredAs', 'Cesena'], ['referredAs', '(Italian_pronunciation']]"
6,http://yago-knowledge.org/resource/A.C._Milan,A.C. Milan,"Associazione Calcio Milan (Italian pronunciation: [assotʃatˈtsjoːne ˈkaltʃo ˈmiːlan]), commonly referred to as A.C. Milan or simply Milan, is a professional football club in Milan, Italy, founded in 1899. The club has spent its entire history, with the exception of the 1980–81 and 1982–83 seasons, in the top flight of Italian football, known as Serie A since 1929–30. AC Milan's 18 FIFA and UEFA trophies is the fourth highest out of any club (joint with Boca Juniors), and the most out of any Italian club. Milan has won a joint record three Intercontinental Cups and one FIFA Club World Cup, seven European Cup/Champions League titles (Italian record), the UEFA Super Cup a joint record five times and the Cup Winners' Cup twice. With 19 league titles, Milan is tied as the second most successful club in Serie A with local rivals Inter Milan (also with 19 league titles), behind Juventus (36 league titles). They have also won the Coppa Italia five times, and the Supercoppa Italiana seven. Milan's home games are played at San Siro, also known as the Stadio Giuseppe Meazza. The stadium, which was built by Milan's second chairman Piero Pirelli in 1926 and is shared since 1947 with city rivals Internazionale, is the largest in Italian football, with a total capacity of 75,923. They have a long-standing rivalry with Inter, with whom they contest the Derby della Madonnina; it is one of the most followed derbies in football. The club is one of the wealthiest in Italian and world football. It was a founding member of the now-defunct G-14 group of Europe's leading football clubs as well as its replacement, the European Club Association.","[['is', Italian pronunciation], [has won, FIFA Club World Cup], [has won, Winners' Cup twice], [has won, a joint record three Intercontinental Cups], [is tied, (also with 19 league titles)], [is tied, as the second most successful club in Serie A with local rivals Inter Milan], [is tied, With 19 league titles], [is tied, behind Juventus (36 league titles)], [won, the Coppa Italia], [have, a long-standing rivalry], [was, a founding member]]","[['the', 'Italian_pronunciation'], ['won', 'FIFA_Club_World_Cup'], ['won', 'joint_record_three_Intercontinental_Cups'], ['isWith', '19_league_titles'], ['isClub', 'second_most_successful_club'], ['footballClub', 'Serie_A'], ['isClub', 'local_rivals'], ['footballClub', 'Inter_Milan'], ['juventusJuventus', 'Juventus'], ['winsJuventus', '36_league_titles'], ['won', 'Coppa_Italia'], ['have', 'long-standing_rivalry'], ['type', 'founding_member']]"
7,http://yago-knowledge.org/resource/ACF_Fiorentina,ACF Fiorentina,"ACF Fiorentina, commonly referred to as Fiorentina ([fjorenˈtiːna]), is an Italian professional football club based in Florence, Tuscany, Italy. The original team was founded by a merger in August 1926, while the actual club was refounded in August 2002 following bankruptcy. Fiorentina have played at the top level of Italian football for the majority of their existence; only four clubs have played in more Serie A seasons. Fiorentina has won two Italian Championships, in 1955–56 and again in 1968–69, as well as six Coppa Italia trophies and one Supercoppa Italiana. On the European stage, Fiorentina won the UEFA Cup Winners' Cup in 1960–61 and lost the final one year later. They finished runners-up in the 1956–57 European Cup, losing against Real Madrid, and also came close to winning the 1989–90 UEFA Cup, finishing as runners-up against Juventus after losing the first leg in Turin and drawing in the second one in Avellino. Fiorentina is one of the fifteen European teams that played the finals in all three major continental competitions: the Champions League (1956–1957, the first Italian team to reach the final in the top continental competition), the UEFA Cup Winners (1960–1961 and 1961–1962) and the UEFA Cup (1989–1990). Since 1931, the club have played at the Stadio Artemio Franchi, which currently has a capacity of 43,147. The stadium has used several names over the years and has undergone several renovations. Fiorentina are known widely by the nickname Viola, a reference to their distinctive purple colours.","[[referred, fjorenˈtiːna], [have played, at the top level of Italian football for the majority of their existence], [has won, Italian Championships], [won, Winners' Cup], [finished, runners-up], [is, one], [are known, widely], [are known, by the nickname Viola, a reference to their distinctive purple colours]]","[['areOf', 'top_level'], ['statisticsOf', 'Italian_football'], ['consistsOf', 'majority'], ['timelineOf', 'their_existence'], ['won', 'Italian_Championships'], ['won', ""Winners'_Cup""], ['finished', 'runners'], ['referTo', 'nickname'], ['refersTo', 'Viola'], ['refersTo', 'reference'], ['refersTo', 'their_distinctive_purple_colours']]"
8,http://yago-knowledge.org/resource/AC_Horsens,AC Horsens,"AC Horsens is a professional Danish football team, playing in the Danish Superliga. They play on Casa Arena Horsens in Horsens. The club was founded in 1994, as a superstructure on Horsens fS (founded 1915), and FC Horsens. Both and FC Horsens has later left the cooperation, and only Horsens fS remains.","[[is, a professional Danish football team], [play, on Casa Arena Horsens in Horsens]]","[['not', 'professional_Danish_football_team'], ['playIn', 'Casa_Arena_Horsens'], ['fcIn', 'Horsens']]"
9,http://yago-knowledge.org/resource/AGOVV_Apeldoorn,AGOVV Apeldoorn,,[],[]
