,Model,Subject,Questions
0,Base,David_Bowie,7
1,ClauCy,David_Bowie,7
2,Stanford,David_Bowie,7
3,GPT,David_Bowie,7
4,Base,Kanye_West,6
5,ClauCy,Kanye_West,6
6,Stanford,Kanye_West,7
7,GPT,Kanye_West,7
8,Base,Eminem,8
9,ClauCy,Eminem,7
10,Stanford,Eminem,8
11,GPT,Eminem,9
12,Base,Jennifer_Aniston,7
13,ClauCy,Jennifer_Aniston,7
14,Stanford,Jennifer_Aniston,7
15,GPT,Jennifer_Aniston,7
16,Base,George_W._Bush,7
17,ClauCy,George_W._Bush,7
18,Stanford,George_W._Bush,7
19,GPT,George_W._Bush,7
20,Base,Prince_(musician),7
21,ClauCy,Prince_(musician),7
22,Stanford,Prince_(musician),7
23,GPT,Prince_(musician),8
24,Base,Justin_Bieber,7
25,ClauCy,Justin_Bieber,7
26,Stanford,Justin_Bieber,7
27,GPT,Justin_Bieber,7
28,Base,Drake_(musician),8
29,ClauCy,Drake_(musician),8
30,Stanford,Drake_(musician),8
31,GPT,Drake_(musician),7
32,Base,Heath_Ledger,7
33,ClauCy,Heath_Ledger,7
34,Stanford,Heath_Ledger,7
35,GPT,Heath_Ledger,7
36,Base,John_Krasinski,6
37,ClauCy,John_Krasinski,8
38,Stanford,John_Krasinski,7
39,GPT,John_Krasinski,8
40,Base,Val_Kilmer,6
41,ClauCy,Val_Kilmer,6
42,Stanford,Val_Kilmer,6
43,GPT,Val_Kilmer,7
44,Base,American_Horror_Story,7
45,ClauCy,American_Horror_Story,7
46,Stanford,American_Horror_Story,7
47,GPT,American_Horror_Story,7
48,Base,Brad_Pitt,7
49,ClauCy,Brad_Pitt,6
50,Stanford,Brad_Pitt,7
51,GPT,Brad_Pitt,7
52,Base,Japan,8
53,ClauCy,Japan,8
54,Stanford,Japan,7
55,GPT,Japan,7
56,Base,Barack_Obama,8
57,ClauCy,Barack_Obama,8
58,Stanford,Barack_Obama,8
59,GPT,Barack_Obama,7
60,Base,Bill_Clinton,8
61,ClauCy,Bill_Clinton,8
62,Stanford,Bill_Clinton,8
63,GPT,Bill_Clinton,7
64,Base,Donald_Trump,7
65,ClauCy,Donald_Trump,7
66,Stanford,Donald_Trump,7
67,GPT,Donald_Trump,7
68,Base,Jimmy_Carter,8
69,ClauCy,Jimmy_Carter,8
70,Stanford,Jimmy_Carter,8
71,GPT,Jimmy_Carter,8
72,Base,Martin_Luther_King_Jr.,8
73,ClauCy,Martin_Luther_King_Jr.,8
74,Stanford,Martin_Luther_King_Jr.,8
75,GPT,Martin_Luther_King_Jr.,8
76,Base,Ronald_Reagan,7
77,ClauCy,Ronald_Reagan,8
78,Stanford,Ronald_Reagan,9
79,GPT,Ronald_Reagan,12
80,Base,Germany,8
81,ClauCy,Germany,7
82,Stanford,Germany,8
83,GPT,Germany,7
84,Base,Matthew_Perry,7
85,ClauCy,Matthew_Perry,8
86,Stanford,Matthew_Perry,7
87,GPT,Matthew_Perry,7
88,Base,Vietnam_War,6
89,ClauCy,Vietnam_War,6
90,Stanford,Vietnam_War,6
91,GPT,Vietnam_War,10
92,Base,The_Walking_Dead_(TV_series),7
93,ClauCy,The_Walking_Dead_(TV_series),7
94,Stanford,The_Walking_Dead_(TV_series),7
95,GPT,The_Walking_Dead_(TV_series),8
96,Base,London,8
97,ClauCy,London,8
98,Stanford,London,8
99,GPT,London,8
100,Base,World_War_I,7
101,ClauCy,World_War_I,7
102,Stanford,World_War_I,7
103,GPT,World_War_I,10
104,Base,California,8
105,ClauCy,California,8
106,Stanford,California,8
107,GPT,California,8
108,Base,The_Beatles,8
109,ClauCy,The_Beatles,8
110,Stanford,The_Beatles,8
111,GPT,The_Beatles,9
112,Base,Robert_Downey_Jr.,8
113,ClauCy,Robert_Downey_Jr.,7
114,Stanford,Robert_Downey_Jr.,8
115,GPT,Robert_Downey_Jr.,8
116,Base,Roger_Federer,7
117,ClauCy,Roger_Federer,7
118,Stanford,Roger_Federer,8
119,GPT,Roger_Federer,8
120,Base,Marilyn_Manson,8
121,ClauCy,Marilyn_Manson,9
122,Stanford,Marilyn_Manson,7
123,GPT,Marilyn_Manson,10
124,Base,Ben_Affleck,7
125,ClauCy,Ben_Affleck,7
126,Stanford,Ben_Affleck,6
127,GPT,Ben_Affleck,7
128,Base,India,8
129,ClauCy,India,8
130,Stanford,India,7
131,GPT,India,8
132,Base,Serena_Williams,8
133,ClauCy,Serena_Williams,9
134,Stanford,Serena_Williams,7
135,GPT,Serena_Williams,8
136,Base,Novak_Djokovic,7
137,ClauCy,Novak_Djokovic,7
138,Stanford,Novak_Djokovic,7
139,GPT,Novak_Djokovic,8
140,Base,China,8
141,ClauCy,China,8
142,Stanford,China,8
143,GPT,China,8
144,Base,France,8
145,ClauCy,France,8
146,Stanford,France,7
147,GPT,France,8
148,Base,Michael_Jackson,8
149,ClauCy,Michael_Jackson,9
150,Stanford,Michael_Jackson,8
151,GPT,Michael_Jackson,7
152,Base,Nicolas_Cage,7
153,ClauCy,Nicolas_Cage,9
154,Stanford,Nicolas_Cage,7
155,GPT,Nicolas_Cage,8
156,Base,Johnny_Depp,7
157,ClauCy,Johnny_Depp,7
158,Stanford,Johnny_Depp,7
159,GPT,Johnny_Depp,6
160,Base,South_Africa,8
161,ClauCy,South_Africa,8
162,Stanford,South_Africa,8
163,GPT,South_Africa,8
164,Base,Tobey_Maguire,9
165,ClauCy,Tobey_Maguire,8
166,Stanford,Tobey_Maguire,9
167,GPT,Tobey_Maguire,9
168,Base,Sandra_Bullock,7
169,ClauCy,Sandra_Bullock,7
170,Stanford,Sandra_Bullock,7
171,GPT,Sandra_Bullock,6
172,Base,Paul_Walker,7
173,ClauCy,Paul_Walker,7
174,Stanford,Paul_Walker,7
175,GPT,Paul_Walker,8
176,Base,Mark_Wahlberg,7
177,ClauCy,Mark_Wahlberg,8
178,Stanford,Mark_Wahlberg,8
179,GPT,Mark_Wahlberg,7
180,Base,New_Zealand,8
181,ClauCy,New_Zealand,8
182,Stanford,New_Zealand,8
183,GPT,New_Zealand,8
184,Base,Alec_Baldwin,7
185,ClauCy,Alec_Baldwin,7
186,Stanford,Alec_Baldwin,7
187,GPT,Alec_Baldwin,7
188,Base,Rachel_Weisz,7
189,ClauCy,Rachel_Weisz,7
190,Stanford,Rachel_Weisz,7
191,GPT,Rachel_Weisz,7
192,Base,Stanley_Tucci,8
193,ClauCy,Stanley_Tucci,8
194,Stanford,Stanley_Tucci,8
195,GPT,Stanley_Tucci,8
196,Base,Keanu_Reeves,8
197,ClauCy,Keanu_Reeves,8
198,Stanford,Keanu_Reeves,8
199,GPT,Keanu_Reeves,7
200,Base,Frank_Sinatra,7
201,ClauCy,Frank_Sinatra,7
202,Stanford,Frank_Sinatra,7
203,GPT,Frank_Sinatra,7
204,Base,Salma_Hayek,7
205,ClauCy,Salma_Hayek,7
206,Stanford,Salma_Hayek,8
207,GPT,Salma_Hayek,8
208,Base,Ryan_Reynolds,8
209,ClauCy,Ryan_Reynolds,8
210,Stanford,Ryan_Reynolds,8
211,GPT,Ryan_Reynolds,8
212,Base,Snoop_Dogg,8
213,ClauCy,Snoop_Dogg,8
214,Stanford,Snoop_Dogg,8
215,GPT,Snoop_Dogg,8
216,Base,Priyanka_Chopra,8
217,ClauCy,Priyanka_Chopra,8
218,Stanford,Priyanka_Chopra,8
219,GPT,Priyanka_Chopra,7
220,Base,Ernest_Hemingway,8
221,ClauCy,Ernest_Hemingway,8
222,Stanford,Ernest_Hemingway,8
223,GPT,Ernest_Hemingway,8
224,Base,Brittany_Murphy,9
225,ClauCy,Brittany_Murphy,6
226,Stanford,Brittany_Murphy,7
227,GPT,Brittany_Murphy,7
228,Base,Lady_Gaga,7
229,ClauCy,Lady_Gaga,7
230,Stanford,Lady_Gaga,7
231,GPT,Lady_Gaga,8
232,Base,Robin_Williams,7
233,ClauCy,Robin_Williams,7
234,Stanford,Robin_Williams,7
235,GPT,Robin_Williams,7
236,Base,Will_Smith,8
237,ClauCy,Will_Smith,8
238,Stanford,Will_Smith,8
239,GPT,Will_Smith,8
240,Base,Mila_Kunis,10
241,ClauCy,Mila_Kunis,7
242,Stanford,Mila_Kunis,10
243,GPT,Mila_Kunis,8
